日期,中行汇买价,中行钞买价,中行钞卖价,央行中间价
2020-12-01,655.7600,650.4300,658.5400,659.2100
2020-11-30,656.5600,651.2200,659.3500,657.8200
2020-11-27,656.3600,651.0200,659.1500,657.5500
2020-11-26,656.2600,650.9300,659.0500,657.8000
2020-11-25,656.7600,651.4200,659.5500,657.4900
2020-11-24,657.8600,652.5100,660.6500,658.0900
2020-11-23,657.2600,651.9200,660.0500,657.1900
2020-11-20,655.0200,649.6900,657.7900,657.8600
2020-11-19,657.0600,651.7200,659.8500,654.8400
2020-11-18,654.7700,649.4400,657.5400,655.9300
2020-11-17,654.3700,649.0400,657.1400,657.6200
2020-11-16,657.1100,651.7700,659.9000,660.4800
2020-11-13,659.3600,653.9900,662.1500,662.8500
2020-11-12,660.0600,654.6900,662.8500,662.3600
2020-11-11,661.7500,656.3700,664.5600,660.7000
2020-11-10,660.2600,654.8900,663.0500,658.9700
2020-11-09,661.2500,655.8800,664.0600,661.2300
2020-11-06,660.0600,654.6900,662.8500,662.9000
2020-11-05,659.7600,654.3900,662.5500,668.9500
2020-11-04,664.2500,658.8500,667.0600,667.7100
2020-11-03,666.5400,661.1200,669.3700,669.5700
2020-11-02,667.7400,662.3100,670.5700,670.5000
2020-10-30,667.7400,662.3100,670.5700,672.3200
2020-10-29,670.0400,664.5900,672.8800,672.6000
2020-10-28,671.5400,666.0700,674.3800,671.9500
2020-10-27,669.2400,663.8000,672.0800,669.8900
2020-10-26,669.6400,664.1900,672.4800,667.2500
2020-10-23,667.1400,661.7200,669.9700,667.0300
2020-10-22,667.0400,661.6200,669.8700,665.5600
2020-10-21,663.7500,658.3500,666.5600,667.8100
2020-10-20,666.4400,661.0200,669.2700,669.3000
2020-10-19,666.9400,661.5200,669.7700,670.1000
2020-10-16,668.5400,663.1000,671.3700,673.3200
2020-10-15,671.1400,665.6800,673.9800,673.7400
2020-10-14,670.2400,664.7900,673.0800,674.7300
2020-10-13,673.2300,667.7600,676.0900,672.9600
2020-10-12,673.2300,667.7600,676.0900,671.2600
2020-10-09,668.0400,662.6100,670.8700,677.9600
2020-10-08,677.7200,672.2100,680.6000,681.0100
2020-10-07,677.7200,672.2100,680.6000,681.0100
2020-10-06,677.7200,672.2100,680.6000,681.0100
2020-10-05,677.7200,672.2100,680.6000,681.0100
2020-10-02,677.7200,672.2100,680.6000,681.0100
2020-10-01,677.7200,672.2100,680.6000,681.0100
2020-09-30,677.8200,672.3100,680.7000,681.0100
2020-09-29,680.0200,674.4900,682.9000,681.7100
2020-09-28,679.8200,674.2900,682.7000,682.5200
2020-09-25,681.0200,675.4800,683.9000,681.2100
2020-09-24,681.3200,675.7700,684.2000,680.2800
2020-09-23,679.5200,673.9900,682.4000,679.8600
2020-09-22,676.7300,671.2200,679.5900,678.7200
2020-09-21,679.1200,673.6000,682.0000,675.9500
2020-09-18,675.6300,670.1300,678.4900,675.9100
2020-09-17,675.1300,669.6400,677.9900,676.7500
2020-09-16,674.2300,668.7500,677.0900,678.2500
2020-09-15,676.9200,671.4200,679.7900,682.2200
2020-09-14,679.7200,674.1900,682.6000,683.6100
2020-09-11,682.1200,676.5700,685.0100,683.8900
2020-09-10,682.0200,676.4700,684.9100,683.3100
2020-09-09,682.0200,676.4700,684.9100,684.2300
2020-09-08,683.4100,677.8500,686.3100,683.6400
2020-09-07,681.7200,676.1700,684.6100,683.8600
2020-09-04,682.9100,677.3600,685.8100,683.5900
2020-09-03,683.0100,677.4600,685.9100,683.1900
2020-09-02,682.3100,676.7600,685.2100,683.7600
2020-09-01,681.4200,675.8700,684.3000,684.9800
2020-08-31,683.4100,677.8500,686.3100,686.0500
2020-08-28,685.2100,679.6400,688.1100,688.9100
2020-08-27,688.0000,682.4100,690.9200,689.0300
2020-08-26,687.3100,681.7100,690.2200,690.7900
2020-08-25,689.9000,684.2900,692.8200,691.8300
2020-08-24,690.6000,684.9800,693.5300,691.9400
2020-08-21,690.5000,684.8800,693.4300,691.0700
2020-08-20,690.3000,684.6800,693.2300,692.7400
2020-08-19,690.7000,685.0800,693.6300,691.6800
2020-08-18,690.8000,685.1800,693.7300,693.2500
2020-08-17,691.9000,686.2700,694.8300,693.6200
2020-08-14,693.5900,687.9500,696.5300,694.0500
2020-08-13,693.1900,687.5600,696.1300,694.2900
2020-08-12,692.5000,686.8600,695.4300,695.9700
2020-08-11,693.2900,687.6500,696.2300,697.1100
2020-08-10,694.8900,689.2400,697.8400,696.4900
2020-08-07,695.3900,689.7300,698.3400,694.0800
2020-08-06,693.9900,688.3500,696.9300,694.3800
2020-08-05,692.3000,686.6600,695.2300,697.5200
2020-08-04,695.9900,690.3300,698.9400,698.0300
2020-08-03,696.6900,691.0200,699.6400,699.8000
2020-07-31,695.9900,690.3300,698.9400,698.4800
2020-07-30,699.4800,693.7900,702.4500,699.0200
2020-07-29,698.8300,693.1500,701.8000,699.6900
2020-07-28,698.6800,693.0000,701.6500,698.9500
2020-07-27,698.4800,692.8000,701.4400,700.2900
2020-07-24,700.3800,694.6800,703.3500,699.3800
2020-07-23,699.0800,693.4000,702.0500,699.2100
2020-07-22,698.5700,692.8900,701.5300,697.1800
2020-07-21,696.7900,691.1200,699.7400,698.6200
2020-07-20,697.0400,691.3700,699.9900,699.2800
2020-07-17,697.8900,692.2100,700.8400,700.4300
2020-07-16,697.7900,692.1100,700.7400,699.1300
2020-07-15,697.4900,691.8100,700.4400,699.8200
2020-07-14,699.5800,693.8900,702.5500,699.9600
2020-07-13,698.4800,692.8000,701.4400,699.6500
2020-07-10,698.5800,692.9000,701.5400,699.4300
2020-07-09,697.9900,692.3100,700.9400,700.8500
2020-07-08,698.8800,693.2000,701.8500,702.0700
2020-07-07,700.0800,694.3900,703.0500,703.1000
2020-07-06,700.5800,694.8800,703.5500,706.6300
2020-07-03,705.2700,699.5300,708.2600,706.3800
2020-07-02,705.2700,699.5300,708.2600,705.6600
2020-07-01,705.6700,699.9300,708.6600,707.1000
2020-06-30,705.2700,699.5300,708.2600,707.9500
2020-06-29,706.4700,700.7200,709.4600,708.0800
2020-06-26,706.6700,700.9200,709.6600,705.5500
2020-06-25,706.6700,700.9200,709.6600,705.5500
2020-06-24,706.4700,700.7200,709.4600,705.5500
2020-06-23,704.4700,698.7400,707.4600,706.7100
2020-06-22,705.5200,699.7800,708.5100,708.6500
2020-06-19,705.7700,700.0300,708.7600,709.1300
2020-06-18,707.4700,701.7100,710.4700,709.0300
2020-06-17,707.2700,701.5100,710.2700,708.7300
2020-06-16,707.1700,701.4200,710.1600,707.5500
2020-06-15,707.6700,701.9100,710.6700,709.0200
2020-06-12,707.1700,701.4200,710.1600,708.6500
2020-06-11,705.1700,699.4400,708.1600,706.0800
2020-06-10,704.7700,699.0400,707.7600,707.0300
2020-06-09,706.4700,700.7200,709.4600,707.1100
2020-06-08,705.6700,699.9300,708.6600,708.8200
2020-06-05,707.1700,701.4200,710.1600,709.6500
2020-06-04,709.7600,703.9900,712.7700,710.1200
2020-06-03,710.2600,704.4800,713.2700,710.7400
2020-06-02,708.9600,703.2000,711.9700,711.6700
2020-06-01,711.5600,705.7700,714.5800,713.1500
2020-05-29,712.1600,706.3700,715.1800,713.1600
2020-05-28,713.2600,707.4500,716.2800,712.7700
2020-05-27,715.6500,709.8300,718.6800,710.9200
2020-05-26,712.2600,706.4600,715.2800,712.9300
2020-05-25,712.3100,706.5100,715.3300,712.0900
2020-05-22,711.6600,705.8700,714.6800,709.3900
2020-05-21,710.0600,704.2900,713.0700,708.6800
2020-05-20,708.0700,702.3100,711.0700,709.5600
2020-05-19,708.5700,702.8000,711.5700,709.1200
2020-05-18,709.5600,703.7900,712.5700,710.3000
2020-05-15,708.8100,703.0500,711.8200,709.3600
2020-05-14,708.1700,702.4100,711.1700,709.4800
2020-05-13,707.7700,702.0100,710.7700,708.7500
2020-05-12,707.0200,701.2700,710.0100,709.1900
2020-05-11,708.4700,702.7000,711.4700,707.6900
2020-05-08,706.0700,700.3300,709.0600,707.8800
2020-05-07,707.2700,701.5100,710.2700,709.3100
2020-05-06,709.1100,703.3500,712.1200,706.9000
2020-05-05,708.9600,703.2000,711.9700,705.7100
2020-05-04,708.9600,703.2000,711.9700,705.7100
2020-05-01,708.4700,702.7000,711.4700,705.7100
2020-04-30,704.9700,699.2400,707.9600,705.7100
2020-04-29,706.2700,700.5200,709.2600,707.0400
2020-04-28,706.6700,700.9200,709.6600,707.1000
2020-04-27,707.3700,701.6100,710.3700,707.0300
2020-04-24,706.6700,700.9200,709.6600,708.0300
2020-04-23,705.3700,699.6300,708.3600,708.8700
2020-04-22,707.0000,701.2500,709.9900,709.0300
2020-04-21,707.8700,702.1100,710.8700,707.5200
2020-04-20,705.8700,700.1300,708.8600,706.5700
2020-04-17,706.0700,700.3300,709.0600,707.1800
2020-04-16,706.6700,700.9200,709.6600,707.1400
2020-04-15,705.4200,699.6800,708.4100,704.0200
2020-04-14,703.7700,698.0500,706.7600,704.0600
2020-04-13,703.9700,698.2500,706.9600,703.0000
2020-04-10,702.1800,696.4700,705.1500,703.5400
2020-04-09,703.0800,697.3600,706.0600,705.3600
2020-04-08,705.2700,699.5300,708.2600,704.8300
2020-04-07,703.4700,697.7500,706.4600,709.3900
2020-04-06,707.8700,702.1100,710.8700,711.0400
2020-04-03,708.0700,702.3100,711.0700,711.0400
2020-04-02,707.1700,701.4200,710.1600,709.9500
2020-04-01,708.8600,703.1000,711.8700,707.7100
2020-03-31,707.1200,701.3700,710.1100,708.5100
2020-03-30,708.6700,702.9000,711.6700,704.4700
2020-03-27,708.1700,702.4100,711.1700,704.2700
